NombreMedio,CódigoMedio,Amplitud,PropiedadLegal,NumArticulosPublicados,FollowersInicioAño,FollowersFinAño,TendenciaFollowers,DiversidadLexicalAnual_2017
Red Arica,RedArica,L,Merelec SpA ,549,2855,3327,"0,17",17
Red Diarios Comunales ,redcomunales,L,Red de Diarios Comunales,7987,2184,3208,"0,47","135,04"
El Chelenko,ElChelenko,L,El Chelenko Comunicaciones,412,2428,3188,"0,31","27,19"
Cauquenes Net,cauquenesnet,HL,Cauquenes NET,1833,2751,3177,"0,15","77,65"
Soy Tomé,soytome,L,El Mercurio S.A.P,428,3065,3156,"0,03","16,96"
El Andacollino,elandacollino,L,Red de Diarios Comunales Sociedad Limitada,964,2717,3115,"0,15","41,99"
La Voz de Maipú,lavozdemaipu,HL,La Voz de Maipú,352,2411,2989,"0,24","41,68"
El Amaule,elamaule,L,Grupo Mi Voz Red de Diarios Ciudadanos,2650,2551,2949,"0,16","112,31"
El Paihuanino,elpaihuanino,L,Red de Diarios Comunales Sociedad Limitada,570,1993,2698,"0,35","29,69"
Primitivos TV,PrimitivosCL,L,Rodrigo Vidal,312,2276,2574,"0,13","8,57"
PRENSA MARIQUINA,Prensamariquina,HL,Prensa Mariquina,307,1967,2333,"0,19","28,56"
El Vicuñense,elvicunense,L,Red de Diarios Comunales Sociedad Limitada .,1159,1416,2170,"0,53","58,85"
Diario Paillaco,DiarioPaillaco ,HL,Grupo Diario Sur,1782,1662,2167,"0,30",75
Panguipulli Noticias ,panguipullinoti,HL,Panguipulli Noticias,331,1943,2112,"0,09","29,28"
la7,la7talca,L,La 7,2146,1404,2044,"0,46","91,68"
El Paradiario14,elparadiario14,L,Grupo Mi Voz Red de Diarios Ciudadanos,906,1767,1789,"0,01","71,26"
El Ariqueño Noticias,ElAriqueno,L,BS Comunicaciones,1187,1492,1646,"0,10","87,58"
El Montepatrino,elmontepatrino,L,Red de Diarios Comunales Sociedad Limitada,281,1074,1512,"0,41","25,49"
El combarbalino,elcombarbalino,L,Red de Diarios Comunales Sociedad Limitada,211,775,1197,"0,54","21,09"
La Perla del Limarí,laperladelimari,L,Red de Diarios Comunales,249,422,751,"0,78","25,27"
El Comunal,DiarioElComunal,L,Red de Diarios Comunales Sociedad Limitada,520,468,668,"0,43","29,89"
